,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
0,Taylor Swift,reputation,...Ready For It?,2yLa0QULdQr0qAIvVwN6B5,0.613,0.764,2,-6.509,1,0.136,0.0527,0,0.197,0.417,160.015,208187,4,1.0
1,Thomas Rhett,Life Changes,Life Changes,4Vxu50qVrQcycjRyJQaZLC,0.687,0.845,7,-4.37,1,0.0576,0.1,0,0.0452,0.809,87.972,190227,4,8.0
2,Bruno Mars,24K Magic,24K Magic,6b8Be6ljOzmkOmFslEb23P,0.818,0.803,1,-4.282,1,0.0797,0.034,0,0.153,0.632,106.97,225983,4,3.0
3,Ed Sheeran,÷ (Deluxe),Galway Girl,0afhq8XCExXpqazXczTSve,0.624,0.876,9,-3.374,1,0.1,0.0735,0,0.327,0.781,99.943,170827,4,8.0
4,Ed Sheeran,x (Deluxe Edition),Photograph,1HNkqx9Ahdgi1Ixy2xkKkL,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,258987,4,11.0
5,Camila Cabello,Camila,Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,0.765,0.523,2,-4.333,1,0.03,0.184,3.56e-05,0.132,0.394,104.988,217307,4,3.0
6,Bruno Mars,Unorthodox Jukebox,When I Was Your Man,0nJW01T7XtvILxQgC5J7Wh,0.612,0.28,0,-8.648,1,0.0434,0.932,0,0.088,0.387,72.795,213827,4,11.0
7,Various Artists,Rocky III: Music From The Motion Picture,Gonna Fly Now,6C2PfemHQul77DVpnvuAIs,0.415,0.538,9,-12.71,0,0.0368,0.4,0.767,0.0674,0.449,95.121,170240,4,2.0
8,Maroon 5,Red Pill Blues (Deluxe),Don't Wanna Know (feat. Kendrick Lamar),5o3GnrcFtvkdf3zFznuSbA,0.783,0.61,7,-6.124,1,0.0696,0.343,0,0.0983,0.418,100.047,214265,4,19.0
9,Ed Sheeran,x (Deluxe Edition),Thinking out Loud,34gCuhDGsG4bRPIf9bb02f,0.781,0.445,2,-6.061,1,0.0295,0.474,0,0.184,0.591,78.998,281560,4,16.0
10,Neon Trees,Picture Show (Deluxe Edition),Everybody Talks,3528IXKpbb7OMjdjWYlbfD,0.471,0.924,8,-3.906,1,0.0586,0.00301,0,0.313,0.725,154.961,177280,4,1.0
11,Taylor Swift,Red (Big Machine Radio Release Special),We Are Never Ever Getting Back Together,0VwNdo84DaVYLIkbVO86ND,0.628,0.676,7,-5.911,1,0.0916,0.00957,2.65e-05,0.121,0.75,85.984,193147,4,8.0
12,Taylor Swift,1989,Bad Blood,0TvQLMecTE8utzoNmvXRbK,0.652,0.802,7,-6.114,1,0.181,0.0871,6.45e-06,0.148,0.295,170.157,211933,4,1.0
13,The Script,#3 Deluxe Version,Hall of Fame (feat. will.i.am),7wMq5n8mYSKlQIGECKUgTX,0.421,0.873,10,-4.343,1,0.0564,0.0654,0,0.123,0.629,84.786,202533,4,19.0
14,Maroon 5,Overexposed Track By Track,Payphone,1XGmzt0PVuFgQYYnV2It7A,0.743,0.752,4,-4.813,1,0.0414,0.0188,0,0.287,0.545,110.015,231173,4,3.0
15,Maroon 5,V,Sugar,2iuZJX9X9P0GKaE93xcPjk,0.748,0.788,1,-7.055,1,0.0334,0.0591,0,0.0863,0.884,120.076,235493,4,3.0
16,Sugarland,The Incredible Machine,Stuck Like Glue,0JcKdUGNR7zI4jJDLyYXbi,0.702,0.795,1,-4.764,1,0.0568,0.329,0,0.0505,0.836,83.961,247587,4,3.0
17,Bruno Mars,24K Magic,That's What I Like,0KKkJNfGyhkQ5aFogxQAPU,0.853,0.56,1,-4.961,1,0.0406,0.013,0,0.0944,0.86,134.066,206693,4,3.0
18,One Direction,FOUR (Deluxe),Steal My Girl,2Bs4jQEGMycglOfWPBqrVG,0.536,0.768,10,-5.948,0,0.0347,0.00433,0,0.114,0.545,77.217,228133,4,13.0
19,DJ Khaled,Grateful,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",3DXncPQOG4VBw3QHh3S817,0.609,0.668,7,-4.284,1,0.0367,0.0552,0,0.167,0.811,80.924,288600,4,8.0
20,Taylor Swift,1989,Wildest Dreams,3fVnlF4pGqWI9flVENcT28,0.553,0.664,8,-7.417,1,0.0741,0.0709,0.0056,0.106,0.467,140.06,220440,4,19.0
21,Khalid,American Teen,Young Dumb & Broke,5Z3GHaZ6ec9bsiI5BenrbY,0.799,0.539,1,-6.351,1,0.0421,0.199,1.66e-05,0.165,0.394,136.948,202547,4,3.0
22,Natasha Bedingfield,Unwritten,Unwritten,3U5JVgI2x4rDyHGObzJfNf,0.706,0.8,5,-6.333,1,0.0399,0.00584,0,0.0822,0.629,100.011,259333,4,8.0
23,R. Kelly,The Essential R. Kelly,Ignition - Remix,3zSCNTXI7Ed0PiidZVmzIe,0.778,0.549,1,-6.144,1,0.0473,0.0549,0,0.0724,0.802,133.041,186040,4,3.0
24,Tom Petty,Full Moon Fever,Free Fallin',5tVA6TkbaAH9QMITTQRrNv,0.623,0.449,5,-13.333,1,0.0253,0.212,0,0.0613,0.572,84.383,256000,4,16.0
25,Van Morrison,Blowin' Your Mind!,Brown Eyed Girl,3yrSvpt2l1xhsV9Em88Pul,0.491,0.583,7,-10.964,1,0.0376,0.185,0,0.406,0.908,150.566,183307,4,1.0
26,Jason Derulo,Future History (Deluxe Edition),It Girl,4fINc8dnfcz7AdhFYVA4i7,0.668,0.718,1,-4.736,0,0.0605,0.0165,0,0.104,0.345,91.993,192200,4,17.0
27,Train,"Save Me, San Francisco (Golden Gate Edition)","Hey, Soul Sister",4HlFJV71xXKIGcU3kRyttv,0.673,0.886,1,-4.44,0,0.0431,0.185,0,0.0826,0.795,97.012,216773,4,17.0
28,Portugal. The Man,Woodstock,Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK,0.801,0.795,1,-5.115,0,0.0504,0.0417,0.000113,0.0717,0.754,79.028,163253,4,17.0
29,The Chainsmokers,Closer,Closer,7BKLCZ1jbUBVqRi2FVlTVw,0.748,0.524,8,-5.599,1,0.0338,0.414,0,0.111,0.661,95.01,244960,4,8.0
30,Trolls,TROLLS (Original Motion Picture Soundtrack),"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",1WkMMavIMc4JZ8cfMmxHkI,0.669,0.832,0,-5.721,1,0.0682,0.0106,0,0.0968,0.7,113.035,237547,4,3.0
